status.region;region
status.chunk;chunk
status.block;blok
status.selected;vybráno
status.queue;fronta
status.total;celkem regionů
status.structures;struktury
status.overlay;překrytí
menu.file;Soubor
menu.view;Pohled
menu.selection;Výběr
menu.tools;Nástroje
menu.about;O aplikaci
menu.file.new;Nový
menu.file.open;Otevřít
menu.file.open_recent;Otevřít nedávné
menu.file.open_recent.clear;Vyčistit
menu.file.save;Uložit
menu.file.save_as;Uložit jako...
menu.file.open_world;Otevřete svět
menu.file.open_dimension;Otevřete další Dimenzi
menu.file.open_recent_world;Otevřít předchozí svět
menu.file.open_recent_world.clear;Vyčistit
menu.file.settings;Nastavení
menu.file.render_settings;Nastavení vykreslování
menu.file.quit;Opustit
menu.view.reload;Znovu načíst
menu.view.chunk_grid;Mřížka chunků
menu.view.region_grid;Mřížka regionů
menu.view.coordinates;Souřadnice
menu.view.coordinate_style;Styl souřadnic
menu.view.coordinate_style.dynamic;Dynamický
menu.view.coordinate_style.edge;Okraj
menu.view.coordinate_style.grid;Mřížka
menu.view.structure_icons;Struktury
menu.view.select_structures;Vybrat struktury
menu.view.goto;Přejít
menu.view.reset_zoom;Obnovit přiblížení
menu.view.save_screenshot;Uložit snímek obrazovky
menu.view.clear_cache;Smazat cache
menu.view.clear_all_cache;Smazat celou cache
menu.selection.clear;Vyčistit
menu.selection.invert;Invertovat
menu.selection.invert_regions;Invertovat vybrané oblasti
menu.selection.copy_chunks;Kopírovat chunky
menu.selection.paste_chunks;Vložit chunky
menu.selection.export_chunks;Exportovat vybrané chunky
menu.selection.delete_chunks;Smazat vybrané chunky
menu.selection.import_selection;Importovat výběr z .csv
menu.selection.export_selection;Exportovat výběr jako .csv
menu.selection.export_image;Exportovat jako obrázek
menu.selection.clear_cache;Smazat keš
menu.tools.import_chunks;Importovat chunky
menu.tools.filter_chunks;Filtrovat chunky
menu.tools.change_fields;Změnit pole
menu.tools.edit_nbt;Upravit chunk
menu.tools.swap_chunks;Vyměňovat chunky
menu.tools.edit_overlays;Upravit překryvy
menu.tools.next_overlay;Další překrytí
menu.tools.next_overlay_type;Typ překrytí
menu.tools.sum_selection;Výběr součtu
dialog.select_world.title;Vyberte Dimenzi
dialog.settings.title;Nastavení
dialog.settings.global.language;Jazyk
dialog.settings.global.language.language;Jazyk
dialog.settings.processing.process.process_threads;Procesní vlákna
dialog.settings.processing.process;Proces
dialog.settings.processing.process.write_threads;Pište vlákna
dialog.settings.processing.files.max_files;Maximální počet souborů
dialog.settings.global.selection.region_color;Barva regionů
dialog.settings.global.selection.chunk_color;Barva chunků
dialog.settings.global.selection.pasted_chunks_color;Barva vkládaných chunků
dialog.settings.rendering.shade.shade;Odstín
dialog.settings.rendering.shade;Odstín
dialog.settings.rendering.shade.shade_water;Stínovat vodu
dialog.settings.rendering.shade.shade_altitude;Výška terénu
dialog.settings.rendering.background.show_nonexistent_regions;Zobrazit neexistující oblasti
dialog.settings.rendering.smooth.smooth_rendering;Plynulé vykreslování
dialog.settings.rendering.smooth.smooth_overlays;Hladké překrytí
dialog.settings.rendering.background.background_pattern;Vzor pozadí
dialog.settings.rendering.background;Pozadí
dialog.settings.rendering.zoom_level.low_detail_zoom_level;Úroveň přiblížení s nízkými detaily
dialog.settings.rendering.zoom_level.low_detail_color;Barva nízkých detailů
dialog.settings.rendering.zoom_level;Úroveň přiblížení
dialog.settings.global.misc.mc_saves_dir;Umístění MC světů
dialog.settings.global.misc.print_debug;Tisk zpráv o ladění
dialog.settings.global.misc.show_log_file;Zobrazit soubor protokolu
dialog.settings.reset;Obnovit
dialog.settings.set_default;Nastavit jako výchozí
dialog.settings.tab_global;Globální
dialog.settings.tab_processing;zpracovává se
dialog.settings.tab_rendering;Vykreslování
dialog.settings.tab_world;Svět
dialog.settings.global.misc;Různé
dialog.settings.processing.files;Soubory
dialog.settings.rendering.smooth;Hladký
dialog.settings.global.selection;Výběr
dialog.settings.world.paths;Cesty
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;Subjekty
dialog.settings.rendering.layers.render_height;Výška vykreslení
dialog.settings.rendering.layers.render_layer_only;Pouze rendrovací vrstva
dialog.settings.rendering.layers;Vrstvy
dialog.settings.rendering.structure_icons;Ikony struktur
dialog.settings.rendering.structure_icon_size;Velikost ikony
dialog.settings.rendering.structure_icon_border_size;Velikost ohraničení
dialog.settings.rendering.layers.render_caves;Render jeskyně
dialog.goto.title;Přejít na pozici
dialog.confirmation.question;Jste si jisti?
dialog.delete_chunks_confirmation.title;Smazat chunky
dialog.delete_chunks_confirmation.header_short;Chcete smazat neznámý počet chunků vybraného světa.
dialog.delete_chunks_confirmation.header_verbose;Chcete smazat  %d chunků vybraného světa.
dialog.image_export_confirmation.title;Exportovat obrázek
