status.region;régió
status.chunk;chunk
status.block;block
status.selected;kijelölve
status.queue;várólista
status.total;összesen
status.overlay;overlay
menu.file;Fájl
menu.view;Nézet
menu.selection;Kijelölés
menu.tools;Eszközök
menu.about;Rólunk
menu.file.new;Új
menu.file.open;Megnyitás
menu.file.open_recent;Legutóbbi megnyitások
menu.file.open_recent.clear;Törlés
menu.file.save;Mentés
menu.file.save_as;Mentés másként...
menu.file.open_world;Világ Megnyitása
menu.file.open_dimension;Dimenzió Megnyitása
menu.file.open_recent_world;Legutóbbi Világ megynitása
menu.file.open_recent_world.clear;Előzmények törlése
menu.file.settings;Beállítások
menu.file.render_settings;Renderelési Beállítások
menu.file.quit;Kilépés
menu.view.reload;Újratöltés
menu.view.chunk_grid;Chunk Rács
menu.view.region_grid;Régió Rács
menu.view.coordinates;Koordináták
menu.view.goto;Koordinátához lépés
menu.view.reset_zoom;Alap nagyítás
menu.view.save_screenshot;Képernyőkép mentése
menu.view.clear_cache;Gyorsítótár törlése
menu.view.clear_all_cache;Minden gyorsítótár törlése
menu.selection.clear;Törlés
menu.selection.invert;Megfordítás
menu.selection.invert_regions;Kijelölt régiók megfordítása
menu.selection.copy_chunks;Chunkok másolása
menu.selection.paste_chunks;Chunkok beillesztése
menu.selection.export_chunks;Kijelölt chunkok exportálása
menu.selection.delete_chunks;Kijelölt chunkok törlése
menu.selection.import_selection;Kijelölés importálása .csv fájlból
menu.selection.export_selection;Kijelölés exportálása .csv fájlba
menu.selection.export_image;Exportálás Képként
menu.selection.clear_cache;Gyorsítótár törlése
menu.tools.import_chunks;Chunkok importálása
menu.tools.filter_chunks;Chunkok szűrése
menu.tools.change_fields;Mezők megváltoztatása
menu.tools.edit_nbt;Chunk szerkesztése
menu.tools.swap_chunks;Chunkok kicserélése
menu.tools.edit_overlays;Overlay szerkesztése
menu.tools.next_overlay;Következő overlay
menu.tools.next_overlay_type;Következő overlay típus
menu.tools.sum_selection;Kiválasztás összege
dialog.select_world.title;Dimenzió kiválasztása
dialog.settings.title;Beállítások
dialog.settings.global.language;Nyelv
dialog.settings.global.language.language;Nyelv
dialog.settings.processing.process.process_threads;Folyamat szálai
dialog.settings.processing.process;Folyamat
dialog.settings.processing.process.write_threads;Író szálak
dialog.settings.processing.files.max_files;Fájlok maximum száma
dialog.settings.global.selection.region_color;Régió színe
dialog.settings.global.selection.chunk_color;Chunk színe
dialog.settings.global.selection.pasted_chunks_color;Beillesztett chunkok színe
dialog.settings.rendering.shade.shade;Árnyalás
dialog.settings.rendering.shade;Árnyalás
dialog.settings.rendering.shade.shade_water;Víz árnyalása
dialog.settings.rendering.shade.shade_altitude;Földrajzi magasság
dialog.settings.rendering.background.show_nonexistent_regions;Nem létező régiók mutatása
dialog.settings.rendering.smooth.smooth_rendering;Simított renderelés
dialog.settings.rendering.smooth.smooth_overlays;Simított overlay
dialog.settings.rendering.background.background_pattern;Háttér mintája
dialog.settings.rendering.background;Háttér
dialog.settings.global.misc.mc_saves_dir;MC mentések mappája
dialog.settings.global.misc.print_debug;Debug üzenetek kiírása
dialog.settings.global.misc.show_log_file;Log file mutatása
dialog.settings.reset;Alapértelmezett beállítások
dialog.settings.tab_global;Általános
dialog.settings.tab_processing;Folyamatok
dialog.settings.tab_rendering;Renderelés
dialog.settings.tab_world;Világ
dialog.settings.global.misc;Egyéb
dialog.settings.processing.files;Fájlok
dialog.settings.rendering.smooth;Simítás
dialog.settings.global.selection;Kijelölés
dialog.settings.world.paths;Elérési utak
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;Entities
dialog.settings.rendering.layers.render_height;Renderelés magassága
dialog.settings.rendering.layers.render_layer_only;Csak az adott réteg renderelése
dialog.settings.rendering.layers;Rétegek
dialog.settings.rendering.layers.render_caves;Barlangok renderelése
dialog.goto.title;Koordinátához lépés
dialog.confirmation.question;Biztos vagy benne?
dialog.delete_chunks_confirmation.title;Chunkok törlése
dialog.delete_chunks_confirmation.header_short;Ezzel kitörölsz ismeretlen mennyiségű chunkot a világból.
dialog.delete_chunks_confirmation.header_verbose;Ezzel kitörölsz %d chunkot a világból.
dialog.image_export_confirmation.title;Exportálás képként
dialog.image_export_confirmation.header_short;Ezzel egy ismeretlen méretű képet készítesz.
dialog.image_export_confirmation.header_verbose;Ezzel egy %dx%d méretű képet készítesz.
dialog.import_chunks_confirmation.title;Chunkok importálása
