status.region;region
status.chunk;chunk
status.block;blok
status.selected;geselecteerd
status.queue;queue
status.total;totaal
status.structures;structuren
status.overlay;overlay
menu.file;Bestand
menu.view;Beeld
menu.selection;Selectie
menu.tools;Gereedschap
menu.about;Over
menu.file.new;Nieuw
menu.file.open;Open
menu.file.open_recent;Open recent
menu.file.open_recent.clear;Verwijderen
menu.file.save;Opslaan
menu.file.save_as;Opslaan als...
menu.file.open_world;Open een wereld
menu.file.open_dimension;Een andere dimensie openen
menu.file.open_recent_world;Een vorige wereld openen
menu.file.open_recent_world.clear;Wissen
menu.file.settings;Instellingen
menu.file.render_settings;Renderinstellingen
menu.file.quit;Stoppen
menu.view.reload;Herladen
menu.view.chunk_grid;Chunk Raster
menu.view.region_grid;Region Raster
menu.view.coordinates;Coördinaten
menu.view.coordinate_style;Coördinatenstijl
menu.view.coordinate_style.dynamic;Dynamisch
menu.view.coordinate_style.edge;Rand
menu.view.coordinate_style.grid;Raster
menu.view.structure_icons;Structuren
menu.view.select_structures;Selecteer Structuren
menu.view.goto;Ga naar
menu.view.reset_zoom;Zoom resetten
menu.view.save_screenshot;Bewaar screenshot
menu.view.clear_cache;Cache wissen
menu.view.clear_all_cache;Wis alle cache
menu.selection.clear;Wissen
menu.selection.invert;Omkeren
menu.selection.invert_regions;Geselecteerde regio's omkeren
menu.selection.copy_chunks;Kopiëer chunks
menu.selection.paste_chunks;Plak chunks
menu.selection.export_chunks;Geselecteerde chunks exporteren
menu.selection.delete_chunks;Geselcteerde chunks verwijderen
menu.selection.import_selection;Selectie importeren uit .csv
menu.selection.export_selection;Selectie exporteren als .csv
menu.selection.export_image;Exporteer als afbeelding
menu.selection.clear_cache;Cache wissen
menu.tools.import_chunks;Chunks importeren
menu.tools.filter_chunks;Chunks filteren
menu.tools.change_fields;Velden veranderen
menu.tools.edit_nbt;Chunk aanpassen
menu.tools.swap_chunks;Chunks omwisselen
menu.tools.edit_overlays;Bewerk overlays
menu.tools.next_overlay;Volgende overlay
menu.tools.next_overlay_type;Overlaytype
menu.tools.sum_selection;Som van selectie
dialog.select_world.title;Selecteer een dimensie
dialog.settings.title;Instellingen
dialog.settings.global.language;Taal
dialog.settings.global.language.language;Taal
dialog.settings.processing.process.process_threads;Procesdraden
dialog.settings.processing.process;Proces
dialog.settings.processing.process.write_threads;Discussies schrijven
dialog.settings.processing.files.max_files;Max. bestanden
dialog.settings.global.selection.region_color;Regio kleur
dialog.settings.global.selection.chunk_color;Chunk kleur
dialog.settings.global.selection.pasted_chunks_color;Geplakte brokken kleur
dialog.settings.rendering.shade.shade;Schaduw
dialog.settings.rendering.shade;Schaduw
dialog.settings.rendering.shade.shade_water;Schaduw water
dialog.settings.rendering.shade.shade_altitude;Terreinhoogte
dialog.settings.rendering.background.show_nonexistent_regions;Niet-bestaande regio's weergeven
dialog.settings.rendering.smooth.smooth_rendering;Vloeiende weergave
dialog.settings.rendering.smooth.smooth_overlays;Vloeiende overlays
dialog.settings.rendering.background.background_pattern;Achtergrondpatroon
dialog.settings.rendering.background;Achtergrond
dialog.settings.rendering.zoom_level.low_detail_zoom_level;Zoomniveau voor lage details
dialog.settings.rendering.zoom_level.low_detail_color;Kleur voor lage details
dialog.settings.rendering.zoom_level;Zoomniveau
dialog.settings.global.misc.mc_saves_dir;MC slaat map op
dialog.settings.global.misc.print_debug;Foutopsporingsberichten afdrukken
dialog.settings.global.misc.show_log_file;Toon logbestand
dialog.settings.reset;Reset
dialog.settings.set_default;Als standaard instellen
dialog.settings.tab_global;Globaal
dialog.settings.tab_processing;Verwerken
dialog.settings.tab_rendering;weergave
dialog.settings.tab_world;Wereld
dialog.settings.global.misc;Diversen
dialog.settings.processing.files;Bestanden
dialog.settings.rendering.smooth;Zacht
dialog.settings.global.selection;Selectie
dialog.settings.world.paths;Paden
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;Entiteiten
dialog.settings.rendering.layers.render_height;Render hoogte
dialog.settings.rendering.layers.render_layer_only;Alleen laag renderen
dialog.settings.rendering.layers;Lagen
dialog.settings.rendering.structure_icons;Structuur-pictogrammen
dialog.settings.rendering.structure_icon_size;Pictogramgrootte
dialog.settings.rendering.structure_icon_border_size;Randgrootte
dialog.settings.rendering.layers.render_caves;Grotten renderen
dialog.goto.title;Ga naar locatie
dialog.confirmation.question;Weet je het zeker?
dialog.delete_chunks_confirmation.title;Chunks verwijderen
dialog.delete_chunks_confirmation.header_short;Je staat op het punt een onbekend aantal chunks uit deze wereld te verwijderen.
dialog.delete_chunks_confirmation.header_verbose;Je staat op het punt %d chunks uit deze wereld te verwijderen.
dialog.image_export_confirmation.title;Exporteer afbeelding
dialog.image_export_confirmation.header_short;U staat op het punt een afbeelding van onbekende proporties te creëren.
