status.region;region
status.chunk;chunk
status.block;blok
status.selected;zaznaczonych
status.queue;kolejka
status.total;łącznie
status.structures;struktury
status.overlay;nakładka
menu.file;Plik
menu.view;Widok
menu.selection;Zaznaczenie
menu.tools;Narzędzia
menu.about;O programie...
menu.file.new;Nowy
menu.file.open;Otwórz
menu.file.open_recent;Otwórz ostatnie
menu.file.open_recent.clear;Wyczyść
menu.file.save;Zapisz
menu.file.save_as;Zapisz jako...
menu.file.open_world;Otwórz świat...
menu.file.open_dimension;Otwórz inny wymiar
menu.file.open_recent_world;Otworzyć poprzedni świat
menu.file.open_recent_world.clear;Resetowanie
menu.file.settings;Ustawienia
menu.file.render_settings;Ustawienia renderowania
menu.file.quit;Wyjdź
menu.view.reload;Przeładować
menu.view.chunk_grid;Siatka chunków
menu.view.region_grid;Siatka regionów
menu.view.coordinates;Współrzędne
menu.view.coordinate_style;Styl współrzędnych
menu.view.coordinate_style.dynamic;Dynamiczny
menu.view.coordinate_style.edge;Krawędź
menu.view.coordinate_style.grid;Siatka
menu.view.structure_icons;Struktury
menu.view.select_structures;Wybierz Struktury
menu.view.goto;Idź do...
menu.view.reset_zoom;Resetuj powiększenie
menu.view.save_screenshot;Zapisz zrzut ekranu
menu.view.clear_cache;Wyczyść cache
menu.view.clear_all_cache;Wyczyść cały cache
menu.selection.clear;Brak
menu.selection.invert;Odwracać
menu.selection.invert_regions;Odwróć wybrane regiony
menu.selection.copy_chunks;Kopiuj chunki
menu.selection.paste_chunks;Wklej chunki
menu.selection.export_chunks;Eksportuj zaznaczone chunki
menu.selection.delete_chunks;Usuń zaznaczone chunki
menu.selection.import_selection;Importuj zaznaczenie z .csv
menu.selection.export_selection;Eksportuj zaznaczenie jako .csv
menu.selection.export_image;Eksportuj jako obraz
menu.selection.clear_cache;Wyczyść cache
menu.tools.import_chunks;Importuj chunki
menu.tools.filter_chunks;Filtruj chunki
menu.tools.change_fields;Zmień dane NBT
menu.tools.edit_nbt;Edytuj chunk
menu.tools.swap_chunks;Zamień chunki
menu.tools.edit_overlays;Edytuj nakładki
menu.tools.next_overlay;Następna nakładka
menu.tools.next_overlay_type;Typ nakładki
menu.tools.sum_selection;Suma wyboru
dialog.select_world.title;Wybierz wymiar
dialog.settings.title;Ustawienia
dialog.settings.global.language;Język
dialog.settings.global.language.language;Język
dialog.settings.processing.process.process_threads;Wątki procesowe
dialog.settings.processing.process;Proces
dialog.settings.processing.process.write_threads;Napisz wątki
dialog.settings.processing.files.max_files;Maksymalna liczba plików
dialog.settings.global.selection.region_color;Kolor regionu
dialog.settings.global.selection.chunk_color;Kolor kawałka
dialog.settings.global.selection.pasted_chunks_color;Wklejony kolor kawałków
dialog.settings.rendering.shade.shade;Cień
dialog.settings.rendering.shade;Cień
dialog.settings.rendering.shade.shade_water;Cień wody
dialog.settings.rendering.shade.shade_altitude;Wysokość terenu
dialog.settings.rendering.background.show_nonexistent_regions;Pokaż nieistniejące regiony
dialog.settings.rendering.smooth.smooth_rendering;Płynne renderowanie
dialog.settings.rendering.smooth.smooth_overlays;Gładkie nakładki
dialog.settings.rendering.background.background_pattern;Wzór tła
dialog.settings.rendering.background;Tło
dialog.settings.rendering.zoom_level.low_detail_zoom_level;Poziom powiększenia o niskiej szczegółowości
dialog.settings.rendering.zoom_level.low_detail_color;Kolor niskiej szczegółowości
dialog.settings.rendering.zoom_level;Poziom powiększenia
dialog.settings.global.misc.mc_saves_dir;MC zapisuje reż
dialog.settings.global.misc.print_debug;Wydrukuj komunikaty debugowania
dialog.settings.global.misc.show_log_file;Pokaż plik dziennika
dialog.settings.reset;Resetuj
dialog.settings.set_default;Ustaw jako domyślne
dialog.settings.tab_global;Światowy
dialog.settings.tab_processing;Przetwarzanie
dialog.settings.tab_rendering;Wykonanie
dialog.settings.tab_world;Świat
dialog.settings.global.misc;Różne
dialog.settings.processing.files;Pliki
dialog.settings.rendering.smooth;Gładki
dialog.settings.global.selection;Wybór
dialog.settings.world.paths;Ścieżki
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;Podmioty
dialog.settings.rendering.layers.render_height;Wysokość renderowania
dialog.settings.rendering.layers.render_layer_only;Tylko renderuj warstwę
dialog.settings.rendering.layers;Warstwy
dialog.settings.rendering.structure_icons;Ikony struktur
dialog.settings.rendering.structure_icon_size;Rozmiar ikony
dialog.settings.rendering.structure_icon_border_size;Rozmiar obramowania
dialog.settings.rendering.layers.render_caves;Renderuj jaskinie
dialog.goto.title;Idź do miejsca
dialog.confirmation.question;Jesteś pewien?
dialog.delete_chunks_confirmation.title;Usuń chunki
dialog.delete_chunks_confirmation.header_short;Zamierzasz usunąć nieokreśloną liczbę chunków z tego świata.
dialog.delete_chunks_confirmation.header_verbose;Zamierzasz usunąć %d chunków z tego świata.
