status.region;bölge
status.chunk;chunk
status.block;konum
status.selected;seçildi
status.queue;sıra
status.total;toplam
status.overlay;kaplama
menu.file;Dosya
menu.view;Görüntü
menu.selection;Seçim
menu.tools;Araçlar
menu.about;Bilgi
menu.file.new;Yeni
menu.file.open;Aç
menu.file.open_recent;Son açılanlar
menu.file.open_recent.clear;Temizle
menu.file.save;Kaydet
menu.file.save_as;Farklı kaydet...
menu.file.open_world;Dünya Aç
menu.file.open_dimension;Başka bir boyut aç
menu.file.open_recent_world;Önceki bir dünyayı Aç
menu.file.open_recent_world.clear;Sıfırla
menu.file.settings;Ayarlar
menu.file.render_settings;Render Ayarları
menu.file.quit;Çıkış
menu.view.reload;Yeniden Yükle
menu.view.chunk_grid;Chunk Izgarası
menu.view.region_grid;Region Izgarası
menu.view.coordinates;Koordinatlar
menu.view.goto;Git
menu.view.reset_zoom;Yakınlaştırmayı Sıfırla
menu.view.save_screenshot;Ekran Görüntüsü Kaydet
menu.view.clear_cache;Önbelleği Temizle
menu.view.clear_all_cache;Tüm Önbelleği Temizle
menu.selection.clear;Temizle
menu.selection.invert;Ters Çevir
menu.selection.invert_regions;Seçili bölgeleri ters çevir
menu.selection.copy_chunks;Kopyala
menu.selection.paste_chunks;Yapıştır
menu.selection.export_chunks;Dışa Aktar
menu.selection.delete_chunks;Seçilen Chunkları Sil
menu.selection.import_selection;Seçimi .csv'den İçe Aktar
menu.selection.export_selection;Seçimi .csv olarak Dışa Aktar
menu.selection.export_image;Resim olarak dışa aktar
menu.selection.clear_cache;Önbelleği temizle
menu.tools.import_chunks;Chunk'ı İçe Aktar
menu.tools.filter_chunks;Chunk'ı Filtrele
menu.tools.change_fields;Alanları değiştir
menu.tools.edit_nbt;Chunk'ı Düzenle
menu.tools.swap_chunks;Chunk'ı Değiştir
menu.tools.edit_overlays;Kaplamaları Düzenle
menu.tools.next_overlay;Sonraki Kaplama
menu.tools.next_overlay_type;Sonraki Kaplama Türü
menu.tools.sum_selection;Seçim toplamı
dialog.select_world.title;Boyut Seç
dialog.settings.title;Ayarlar
dialog.settings.global.language;Dil
dialog.settings.global.language.language;Dil
dialog.settings.processing.process.process_threads;Process threads
dialog.settings.processing.process;Process
dialog.settings.processing.process.write_threads;Write threads
dialog.settings.processing.files.max_files;Maksimum Dosya
dialog.settings.global.selection.region_color;Bölge Rengi
dialog.settings.global.selection.chunk_color;Chunk Rengi
dialog.settings.global.selection.pasted_chunks_color;Yapıştırılan Chunk Rengi
dialog.settings.rendering.shade.shade;Gölge
dialog.settings.rendering.shade;Gölge
dialog.settings.rendering.shade.shade_water;Su Gölgesi
dialog.settings.rendering.shade.shade_altitude;Arazi yüksekliği
dialog.settings.rendering.background.show_nonexistent_regions;Var olmayan bölgeleri göster
dialog.settings.rendering.smooth.smooth_rendering;Pürüzsüz işleme
dialog.settings.rendering.smooth.smooth_overlays;Pürüzsüz kaplama
dialog.settings.rendering.background.background_pattern;Arka plan deseni
dialog.settings.rendering.background;Arka plan
dialog.settings.global.misc.mc_saves_dir;Varsayılan Dünya Konumu
dialog.settings.global.misc.print_debug;Hata ayıklama mesajlarını göster
dialog.settings.global.misc.show_log_file;Log dosyalarını göster
dialog.settings.reset;Sıfırla
dialog.settings.tab_global;Küresel
dialog.settings.tab_processing;İşlem
dialog.settings.tab_rendering;Render
dialog.settings.tab_world;Dünya
dialog.settings.global.misc;Çeşitli
dialog.settings.processing.files;Dosyalar
dialog.settings.rendering.smooth;Yumuşak
dialog.settings.global.selection;Seçim
dialog.settings.world.paths;Yollar
dialog.settings.world.paths.poi;İlgi Konusu
dialog.settings.world.paths.entities;Varlıklar
dialog.settings.rendering.layers.render_height;Render Yüksekliği
dialog.settings.rendering.layers.render_layer_only;Yalnızca Katmanı Renderla
dialog.settings.rendering.layers;Katmanlar
dialog.settings.rendering.layers.render_caves;Mağaraları Renderla
dialog.goto.title;Konuma Git
dialog.confirmation.question;Emin Misin?
dialog.delete_chunks_confirmation.title;Sil
dialog.delete_chunks_confirmation.header_short;Bu dünyadan bilinmeyen sayıda chunk'ı silmek üzeresiniz.
dialog.delete_chunks_confirmation.header_verbose;Bu dünyadan %d chunk silmek üzeresiniz.
dialog.image_export_confirmation.title;Resmi Dışa Aktar
dialog.image_export_confirmation.header_short;Bilinmeyen oranlarda bir görüntü oluşturmak üzeresiniz.
dialog.image_export_confirmation.header_verbose;%dx%d boyutlarında bir resim oluşturmak üzeresiniz.
dialog.import_chunks_confirmation.title;Chunkları içe aktar
dialog.import_chunks_confirmation.header;Bu dünyaya bilinmeyen sayıda chunk'ı içe aktarmak üzeresiniz.
dialog.import_chunks_confirmation.options;Seçenekler
dialog.import_chunks_confirmation.options.offset;Ofset
dialog.import_chunks_confirmation.options.overwrite;Mevcut chunkların üzerine yaz.
dialog.import_chunks_confirmation.options.selection_only;Yalnızca seçime uygula.
dialog.import_chunks_confirmation.options.y_offset;Y-ofset
dialog.import_chunks_confirmation.options.sections;Bölümler
